 ,Area,Mean,Min,Max
1,0.202,255,255,255
2,0.156,255,255,255
3,0.026,255,255,255
4,0.168,255,255,255
5,0.184,255,255,255
6,0.155,255,255,255
7,0.151,255,255,255
8,0.195,255,255,255
9,0.147,255,255,255
10,0.184,255,255,255
11,0.191,255,255,255
12,0.146,255,255,255
13,0.241,255,255,255
14,0.170,255,255,255
15,0.212,255,255,255
16,0.176,255,255,255
17,0.161,255,255,255
18,0.137,255,255,255
19,0.135,255,255,255
20,0.184,255,255,255
21,0.147,255,255,255
22,0.166,255,255,255
23,0.155,255,255,255
24,0.206,255,255,255
25,0.137,255,255,255
26,0.143,255,255,255
27,0.156,255,255,255
28,0.152,255,255,255
29,0.189,255,255,255
30,0.178,255,255,255
31,0.159,255,255,255
32,0.172,255,255,255
33,0.197,255,255,255
34,0.159,255,255,255
35,0.203,255,255,255
36,0.125,255,255,255
37,0.155,255,255,255
38,0.161,255,255,255
39,0.169,255,255,255
40,0.263,255,255,255
41,0.150,255,255,255
42,0.190,255,255,255
43,0.288,255,255,255
44,0.348,255,255,255
45,0.176,255,255,255
46,0.146,255,255,255
47,0.255,255,255,255
48,0.205,255,255,255
49,0.226,255,255,255
50,0.121,255,255,255
51,0.180,255,255,255
52,0.172,255,255,255
53,0.143,255,255,255
54,0.132,255,255,255
55,0.232,255,255,255
56,0.143,255,255,255
57,0.217,255,255,255
58,0.152,255,255,255
59,0.226,255,255,255
60,0.148,255,255,255
61,0.142,255,255,255
62,0.202,255,255,255
63,0.137,255,255,255
64,0.393,255,255,255
65,0.235,255,255,255
66,0.216,255,255,255
67,0.301,255,255,255
68,0.232,255,255,255
69,0.167,255,255,255
70,0.176,255,255,255
71,0.175,255,255,255
72,0.189,255,255,255
73,0.180,255,255,255
74,0.168,255,255,255
75,0.198,255,255,255
76,0.175,255,255,255
77,0.215,255,255,255
78,0.201,255,255,255
79,0.343,255,255,255
80,0.145,255,255,255
81,0.152,255,255,255
82,0.158,255,255,255
83,0.177,255,255,255
84,0.154,255,255,255
85,0.160,255,255,255
86,0.139,255,255,255
87,0.155,255,255,255
88,0.182,255,255,255
89,0.048,255,255,255
90,0.137,255,255,255
91,0.160,255,255,255
92,0.199,255,255,255
93,0.176,255,255,255
94,0.223,255,255,255
95,0.143,255,255,255
96,0.137,255,255,255
97,0.122,255,255,255
98,0.191,255,255,255
99,0.182,255,255,255
100,0.188,255,255,255
101,0.136,255,255,255
102,0.199,255,255,255
103,0.205,255,255,255
104,0.159,255,255,255
105,0.224,255,255,255
106,0.272,255,255,255
107,0.144,255,255,255
108,0.183,255,255,255
109,0.143,255,255,255
110,0.120,255,255,255
111,0.109,255,255,255
112,0.179,255,255,255
113,0.168,255,255,255
114,0.154,255,255,255
115,0.183,255,255,255
116,0.136,255,255,255
117,0.159,255,255,255
118,0.082,255,255,255
119,0.481,255,255,255
120,0.151,255,255,255
121,0.162,255,255,255
122,0.185,255,255,255
123,0.058,255,255,255
124,0.162,255,255,255
125,0.165,255,255,255
126,0.047,255,255,255
127,0.145,255,255,255
128,0.169,255,255,255
129,0.173,255,255,255
130,0.125,255,255,255
131,0.116,255,255,255
132,0.104,255,255,255
133,0.033,255,255,255
